network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,rule_A,rule_B,Attractor_Type,Cluster,cluster_label_numeric
49,6,3,24,"A→A,B⊣B,A→B",OA,A' = A | B,B' = !B,Cyclic / trap dominated,Cluster_3,2
50,6,4,25,"A→A,B⊣B,A⊣B",AA,A' = !A & !B,B' = B,Mixed fixed + trap,Cluster_3,2
51,6,4,25,"A→A,B⊣B,A⊣B",OA,A' = !A | !B,B' = B,Mixed fixed + trap,Cluster_3,2
52,6,5,26,"A⊣A,B→B,A→B",AA,A' = !A & B,B' = B,Mixed fixed + trap,Cluster_3,2
53,6,5,26,"A⊣A,B→B,A→B",OA,A' = !A | B,B' = B,Mixed fixed + trap,Cluster_3,2
54,6,6,27,"A⊣A,B→B,A⊣B",AA,A' = A & !B,B' = !B,Cyclic / trap dominated,Cluster_3,2
55,6,6,27,"A⊣A,B→B,A⊣B",OA,A' = A | !B,B' = !B,Cyclic / trap dominated,Cluster_3,2
56,6,7,28,"A⊣A,B⊣B,A→B",AA,A' = !A & B,B' = !B,Cyclic / trap dominated,Cluster_2,1
57,6,7,28,"A⊣A,B⊣B,A→B",OA,A' = !A | B,B' = !B,Cyclic / trap dominated,Cluster_2,1
58,6,8,29,"A⊣A,B⊣B,A⊣B",AA,A' = !A & !B,B' = !B,Cyclic / trap dominated,Cluster_2,1
59,6,8,29,"A⊣A,B⊣B,A⊣B",OA,A' = !A | !B,B' = !B,Cyclic / trap dominated,Cluster_2,1
60,7,1,30,"A→A,B→B,A→B,B→A",AA,A' = A & B,B' = B & A,Multi-attractor fixed-point,Cluster_1,0
61,7,1,30,"A→A,B→B,A→B,B→A",OA,A' = A | B,B' = B & A,Multi-attractor fixed-point,Cluster_1,0
62,7,1,30,"A→A,B→B,A→B,B→A",OO,A' = A | B,B' = B | A,Multi-attractor fixed-point,Cluster_1,0
63,7,2,31,"A→A,B→B,A→B,B⊣A",AA,A' = A & !B,B' = B & A,Multi-attractor fixed-point,Cluster_1,0
64,7,2,31,"A→A,B→B,A→B,B⊣A",OA,A' = A | !B,B' = B & A,Multi-attractor fixed-point,Cluster_1,0
65,7,2,31,"A→A,B→B,A→B,B⊣A",OO,A' = A | !B,B' = B | A,Multi-attractor fixed-point,Cluster_1,0
66,7,3,32,"A→A,B→B,A⊣B,B⊣A",AA,A' = A & !B,B' = B & !A,Multi-attractor fixed-point,Cluster_1,0
67,7,3,32,"A→A,B→B,A⊣B,B⊣A",OA,A' = A | !B,B' = B & !A,Multi-attractor fixed-point,Cluster_1,0
68,7,3,32,"A→A,B→B,A⊣B,B⊣A",OO,A' = A | !B,B' = B | !A,Multi-attractor fixed-point,Cluster_1,0
69,7,4,33,"A→A,B⊣B,A→B,B⊣A",AA,A' = A & !B,B' = !B & A,Single fixed point,Cluster_4,3
70,7,4,33,"A→A,B⊣B,A→B,B⊣A",OA,A' = A | !B,B' = !B & A,Cyclic / trap dominated,Cluster_3,2
71,7,4,33,"A→A,B⊣B,A→B,B⊣A",OO,A' = A | !B,B' = !B | A,Single fixed point,Cluster_4,3
72,7,5,34,"A→A,B⊣B,A⊣B,B→A",AA,A' = A & B,B' = !B & !A,Cyclic / trap dominated,Cluster_3,2
73,7,5,34,"A→A,B⊣B,A⊣B,B→A",OA,A' = A | B,B' = !B & !A,Single fixed point,Cluster_4,3
74,7,5,34,"A→A,B⊣B,A⊣B,B→A",OO,A' = A | B,B' = !B | !A,Cyclic / trap dominated,Cluster_3,2
75,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",AA,A' = A & !B,B' = !B & !A,Mixed fixed + trap,Cluster_3,2
76,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OA,A' = A | !B,B' = !B & !A,Single fixed point,Cluster_4,3
77,7,6,35,"A→A,B⊣B,A⊣B,B⊣A",OO,A' = A | !B,B' = !B | !A,Mixed fixed + trap,Cluster_3,2
78,7,7,36,"A⊣A,B→B,A→B,B→A",AA,A' = !A & B,B' = B & A,Single fixed point,Cluster_4,3
79,7,7,36,"A⊣A,B→B,A→B,B→A",OA,A' = !A | B,B' = B & A,Mixed fixed + trap,Cluster_3,2
80,7,7,36,"A⊣A,B→B,A→B,B→A",OO,A' = !A | B,B' = B | A,Single fixed point,Cluster_4,3
81,7,8,37,"A⊣A,B⊣B,A→B,B→A",AA,A' = !A & B,B' = !B & A,Single fixed point,Cluster_4,3
82,7,8,37,"A⊣A,B⊣B,A→B,B→A",OA,A' = !A | B,B' = !B & A,Cyclic / trap dominated,Cluster_3,2
83,7,8,37,"A⊣A,B⊣B,A→B,B→A",OO,A' = !A | B,B' = !B | A,Single fixed point,Cluster_4,3
84,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",AA,A' = !A & !B,B' = !B & A,Cyclic / trap dominated,Cluster_2,1
85,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OA,A' = !A | !B,B' = !B & A,Cyclic / trap dominated,Cluster_2,1
86,7,9,38,"A⊣A,B⊣B,A→B,B⊣A",OO,A' = !A | !B,B' = !B | A,Cyclic / trap dominated,Cluster_2,1
87,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",AA,A' = !A & !B,B' = !B & !A,Cyclic / trap dominated,Cluster_3,2
88,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OA,A' = !A | !B,B' = !B & !A,Single fixed point,Cluster_4,3
89,7,10,39,"A⊣A,B⊣B,A⊣B,B⊣A",OO,A' = !A | !B,B' = !B | !A,Cyclic / trap dominated,Cluster_3,2
