network_id,class,graph_in_class,graph_global_id,graph_desc,logic_code,gate_A,gate_B,rule_A,rule_B,Number of Nodes,Number of Edges,Density,Strongly Connected,Number of SCCs,Largest SCC Size,Avg In-Degree,Avg Out-Degree,Max In-Degree,Max Out-Degree,Has Cycle,Number of Cycles,Number of Limit Cycles,Max Cycle Length,Avg Cycle Length,Shannon Entropy (Out-degree),Shannon Entropy (In-degree),Transition Entropy,Basin Entropy,Spectral Radius,Algebraic Connectivity,Number of Attractors,Number of Fixed Points,Has Fixed Point Attractor,Avg Attractor Length,Max Attractor Length,Attractor Coverage,Avg Basin Size,Max Basin Size,Basin Size Variance,Basin Size Skewness,Average Transient Length,Maximum Transient Length,Diameter,Average Shortest Path Length,Garden of Eden Count,Common Sea Count,Specific Part Count,Backward Boolean Equivalence,Derrida Coefficient,Average Sensitivity,Fixed Point Attractors,Cycle or Trap Components,Attractor Components,Basin Sizes,Attractor_Type
24,4,4,13,"A⊣A,B⊣A",AA,AND,AND,A' = !A & !B,B' = 1,4,6,0.5,0,3,2,1.5,1.5,3,2,0,0,0,0,0.0,1.0,0.8112781244591328,1.792481250360578,-0.0,1.0,1.9999999999999987,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.2857142857142858,0,2,0,0,0.75,0.75,01,None,01,4,Single fixed point
25,4,4,13,"A⊣A,B⊣A",AO,AND,OR,A' = !A & !B,B' = 0,4,5,0.4166666666666667,0,3,2,1.25,1.25,2,2,1,1,1,2,2.0,0.8112781244591328,1.5,1.5219280948873621,-0.0,1.0,1.9999999999999987,1,0,0,2.0,2,0.5,4.0,4,0.0,0.0,0.5,1,2,1.2857142857142858,1,1,1,0,0.75,0.75,None,"{00,10}","{00,10}",4,Cyclic / trap dominated
26,4,4,13,"A⊣A,B⊣A",OA,OR,AND,A' = !A | !B,B' = 1,4,5,0.4166666666666667,0,3,2,1.25,1.25,2,2,1,1,1,2,2.0,0.8112781244591328,1.5,1.5219280948873621,-0.0,1.0,1.9999999999999987,1,0,0,2.0,2,0.5,4.0,4,0.0,0.0,0.5,1,2,1.2857142857142858,1,1,1,0,0.75,0.75,None,"{01,11}","{01,11}",4,Cyclic / trap dominated
27,4,4,13,"A⊣A,B⊣A",OO,OR,OR,A' = !A | !B,B' = 0,4,6,0.5,0,3,2,1.5,1.5,3,2,0,0,0,0,0.0,1.0,0.8112781244591328,1.792481250360578,-0.0,1.0,1.9999999999999987,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.0,2,2,1.2857142857142858,0,2,0,0,0.75,0.75,10,None,10,4,Single fixed point
28,5,1,14,"A→A,A→B,B→A",AA,AND,AND,A' = A & B,B' = A,4,5,0.4166666666666667,0,4,1,1.25,1.25,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,0.9709505944546686,1.0,1.0,0.5857864376269047,2,2,1,1.0,1,0.5,2.5,3,0.25,0.0,0.5,1,1,1.0,2,0,2,0,1.0,1.0,00; 11,None,00; 11,3; 2,Multi-attractor fixed-point
29,5,1,14,"A→A,A→B,B→A",OA,AND,OR,A' = A | B,B' = A,4,5,0.4166666666666667,0,4,1,1.25,1.25,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,0.9709505944546686,1.0,1.0,0.585786437626905,2,2,1,1.0,1,0.5,2.5,3,0.25,0.0,0.5,1,1,1.0,2,0,2,0,1.0,1.0,00; 11,None,00; 11,2; 3,Multi-attractor fixed-point
30,5,2,15,"A→A,A→B,B⊣A",AA,AND,AND,A' = A & !B,B' = A,4,4,0.3333333333333333,0,4,1,1.0,1.0,2,1,0,0,0,0,0.0,-0.0,1.5,1.5,-0.0,1.0,0.585786437626905,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.5,3,3,1.6666666666666667,1,2,0,0,1.0,1.0,00,None,00,4,Single fixed point
31,5,2,15,"A→A,A→B,B⊣A",OA,AND,OR,A' = A | !B,B' = A,4,4,0.3333333333333333,0,4,1,1.0,1.0,2,1,0,0,0,0,0.0,-0.0,1.5,1.5,-0.0,1.0,0.5857864376269047,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.5,3,3,1.6666666666666667,1,2,0,0,1.0,1.0,11,None,11,4,Single fixed point
32,5,3,16,"A→A,A⊣B,B→A",AA,AND,AND,A' = A & B,B' = !A,4,4,0.3333333333333333,0,4,1,1.0,1.0,2,1,0,0,0,0,0.0,-0.0,1.5,1.5,-0.0,1.0,0.5857864376269047,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.5,3,3,1.6666666666666667,1,2,0,0,1.0,1.0,01,None,01,4,Single fixed point
33,5,3,16,"A→A,A⊣B,B→A",OA,AND,OR,A' = A | B,B' = !A,4,4,0.3333333333333333,0,4,1,1.0,1.0,2,1,0,0,0,0,0.0,-0.0,1.5,1.5,-0.0,1.0,0.585786437626905,1,1,1,1.0,1,0.25,4.0,4,0.0,0.0,1.5,3,3,1.6666666666666667,1,2,0,0,1.0,1.0,10,None,10,4,Single fixed point
34,5,4,17,"A→A,A⊣B,B⊣A",AA,AND,AND,A' = A & !B,B' = !A,4,5,0.4166666666666667,0,4,1,1.25,1.25,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,0.9709505944546686,1.0,1.0,0.585786437626905,2,2,1,1.0,1,0.5,2.5,3,0.25,0.0,0.5,1,1,1.0,2,0,2,0,1.0,1.0,01; 10,None,01; 10,3; 2,Multi-attractor fixed-point
35,5,4,17,"A→A,A⊣B,B⊣A",OA,AND,OR,A' = A | !B,B' = !A,4,5,0.4166666666666667,0,4,1,1.25,1.25,3,2,0,0,0,0,0.0,0.8112781244591328,1.5,0.9709505944546686,1.0,1.0,0.5857864376269047,2,2,1,1.0,1,0.5,2.5,3,0.25,0.0,0.5,1,1,1.0,2,0,2,0,1.0,1.0,01; 10,None,01; 10,2; 3,Multi-attractor fixed-point
